Pin,Signal,Type,Bank,FPGA_Pin,Description,Carrier_Use
1,B24_L1_P,I/O,BANK24,-,BANK24 Lane1 Positive,RS485_0_TX
2,B24_L1_N,I/O,BANK24,-,BANK24 Lane1 Negative,RS485_0_RX
3,B24_L2_P,I/O,BANK24,-,BANK24 Lane2 Positive,RS485_0_DE
4,B24_L2_N,I/O,BANK24,-,BANK24 Lane2 Negative,RS485_1_TX
5,GND,PWR,-,-,Ground,Ground
6,B24_L3_P,I/O,BANK24,-,BANK24 Lane3 Positive,RS485_1_RX
7,B24_L3_N,I/O,BANK24,-,BANK24 Lane3 Negative,RS485_1_DE
8,B24_L4_P,I/O,BANK24,-,BANK24 Lane4 Positive,PL_LED0
9,B24_L4_N,I/O,BANK24,-,BANK24 Lane4 Negative,PL_LED1
10,B24_L5_P,I/O,BANK24,-,BANK24 Lane5 Positive,PL_KEY0
11,B24_L5_N,I/O,BANK24,-,BANK24 Lane5 Negative,PL_KEY1
12,GND,PWR,-,-,Ground,Ground
13,B24_L6_P,I/O,BANK24,-,BANK24 Lane6 Positive,FAN_PWM
14,B24_L6_N,I/O,BANK24,-,BANK24 Lane6 Negative,Reserved
15,B24_L7_P,I/O,BANK24,-,BANK24 Lane7 Positive,Reserved
16,B24_L7_N,I/O,BANK24,-,BANK24 Lane7 Negative,Reserved
17,B24_L8_P,I/O,BANK24,-,BANK24 Lane8 Positive,Reserved
18,GND,PWR,-,-,Ground,Ground
19,B24_L8_N,I/O,BANK24,-,BANK24 Lane8 Negative,Reserved
20,B24_L9_P,I/O,BANK24,-,BANK24 Lane9 Positive,Reserved
21,B24_L9_N,I/O,BANK24,-,BANK24 Lane9 Negative,Reserved
22,B24_L10_P,I/O,BANK24,-,BANK24 Lane10 Positive,Reserved
23,B24_L10_N,I/O,BANK24,-,BANK24 Lane10 Negative,Reserved
24,GND,PWR,-,-,Ground,Ground
25,B24_L11_P,I/O,BANK24,-,BANK24 Lane11 Positive,Reserved
26,B24_L11_N,I/O,BANK24,-,BANK24 Lane11 Negative,Reserved
27,B24_L12_P,I/O,BANK24,-,BANK24 Lane12 Positive,Reserved
28,B24_L12_N,I/O,BANK24,-,BANK24 Lane12 Negative,Reserved
