Pin,Signal,Type,Bank,FPGA_Pin,Description,Carrier_Use
1,MIO0,I/O,PS,A12,PS MIO0,QSPI_SCLK (SoM internal)
2,MIO1,I/O,PS,B14,PS MIO1,QSPI_IO0 (SoM internal)
3,MIO2,I/O,PS,A14,PS MIO2,QSPI_IO1 (SoM internal)
4,MIO3,I/O,PS,B15,PS MIO3,QSPI_IO2 (SoM internal)
5,GND,PWR,-,-,Ground,Ground
6,MIO4,I/O,PS,A15,PS MIO4,QSPI_IO3 (SoM internal)
7,MIO5,I/O,PS,B16,PS MIO5,QSPI_CS (SoM internal)
8,MIO6,I/O,PS,A16,PS MIO6,Reserved
9,MIO7,I/O,PS,A17,PS MIO7,Reserved
10,MIO8,I/O,PS,A18,PS MIO8,Reserved
11,MIO9,I/O,PS,B18,PS MIO9,Reserved
12,GND,PWR,-,-,Ground,Ground
13,MIO10,I/O,PS,C17,PS MIO10,Reserved
14,MIO11,I/O,PS,C18,PS MIO11,Reserved
15,MIO12,I/O,PS,D18,PS MIO12,Reserved
16,MIO13,I/O,PS,E18,PS MIO13,eMMC_SDIO0_DATA0 (SoM internal)
17,MIO14,I/O,PS,E17,PS MIO14,eMMC_SDIO0_DATA1 (SoM internal)
18,GND,PWR,-,-,Ground,Ground
19,MIO15,I/O,PS,E16,PS MIO15,eMMC_SDIO0_DATA2 (SoM internal)
20,MIO16,I/O,PS,D17,PS MIO16,eMMC_SDIO0_DATA3 (SoM internal)
21,MIO17,I/O,PS,D16,PS MIO17,eMMC_SDIO0_DATA4 (SoM internal)
22,MIO18,I/O,PS,D15,PS MIO18,eMMC_SDIO0_DATA5 (SoM internal)
23,MIO19,I/O,PS,D14,PS MIO19,eMMC_SDIO0_DATA6 (SoM internal)
24,GND,PWR,-,-,Ground,Ground
25,MIO20,I/O,PS,E14,PS MIO20,eMMC_SDIO0_DATA7 (SoM internal)
26,MIO21,I/O,PS,F15,PS MIO21,eMMC_SDIO0_CMD (SoM internal)
27,MIO22,I/O,PS,F14,PS MIO22,eMMC_SDIO0_CLK (SoM internal)
28,MIO23,I/O,PS,F13,PS MIO23,eMMC_SDIO0_RST (SoM internal)
