"Refs","Value","Footprint","Qty","DNP"
"C20","220uF","Capacitor_SMD:C_0402_1005Metric","1",""
"C21","220uF","Capacitor_SMD:C_0402_1005Metric","1",""
"C22","470uF","Capacitor_SMD:C_0402_1005Metric","1",""
"C23","220uF","Capacitor_SMD:C_0402_1005Metric","1",""
"C36","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C37","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"D1","LED_USER0","LED_SMD:LED_0603_1608Metric","1",""
"D2","LED_USER1","LED_SMD:LED_0603_1608Metric","1",""
"D3","LED_USER2","LED_SMD:LED_0603_1608Metric","1",""
"D4","LED_USER3","LED_SMD:LED_0603_1608Metric","1",""
"D11","SS34","LED_SMD:LED_0603_1608Metric","1",""
"D12","LED_5V","LED_SMD:LED_0603_1608Metric","1",""
"D13","SS34","LED_SMD:LED_0603_1608Metric","1",""
"D14","SS34","LED_SMD:LED_0603_1608Metric","1",""
"D15","LED_3V3","LED_SMD:LED_0603_1608Metric","1",""
"D16","LED_1V8","LED_SMD:LED_0603_1608Metric","1",""
"J1","USB_A","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","1",""
"J2","USB_A","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","1",""
"J3","USB_A","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","1",""
"J4","USB_A","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","1",""
"J5","RJ45_MagJack","Connector_RJ:RJ45_Hanrun_HR911105A_Horizontal","1",""
"J6","RJ45_MagJack","Connector_RJ:RJ45_Hanrun_HR911105A_Horizontal","1",""
"J7","CAN0","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J8","CAN1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J9","RS485_0","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J10","RS485_1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J11","MicroSD","Connector_Card:microSD_HC_Wuerth_693072010801","1",""
"J12","USB_Debug","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J16","DC_12V","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J23","HDMI_OUT","fcBoard_Connectors:HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal","1",""
"J24","HDMI_IN","fcBoard_Connectors:HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal","1",""
"L4","33uH","Inductor_SMD:L_Bourns_SRN6045TA","1",""
"L5","33uH","Inductor_SMD:L_Bourns_SRN6045TA","1",""
"L6","33uH","Inductor_SMD:L_Bourns_SRN6045TA","1",""
"R1","470R","Resistor_SMD:R_0402_1005Metric","1",""
"R2","470R","Resistor_SMD:R_0402_1005Metric","1",""
"R3","470R","Resistor_SMD:R_0402_1005Metric","1",""
"R4","470R","Resistor_SMD:R_0402_1005Metric","1",""
"R15","100","Resistor_SMD:R_0402_1005Metric","1",""
"R16","1.5K","Resistor_SMD:R_0402_1005Metric","1",""
"R17","1K","Resistor_SMD:R_0402_1005Metric","1",""
"R18","470","Resistor_SMD:R_0402_1005Metric","1",""
"R19","3.3K","Resistor_SMD:R_0402_1005Metric","1",""
"R20","1.5K","Resistor_SMD:R_0402_1005Metric","1",""
"R21","1K","Resistor_SMD:R_0402_1005Metric","1",""
"R24","10K","Resistor_SMD:R_0402_1005Metric","1",""
"SW1","BTN0","Button_Switch_SMD:SW_SPST_TL3342","1",""
"SW2","BTN1","Button_Switch_SMD:SW_SPST_TL3342","1",""
"U1","USB3320","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","1",""
"U2","USB5744","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1",""
"U3","TPD4S012","Package_DFN_QFN:UQFN-10_1.4x1.8mm_P0.4mm","1",""
"U4","TPD4S012","Package_DFN_QFN:UQFN-10_1.4x1.8mm_P0.4mm","1",""
"U5","TPD4S012","Package_DFN_QFN:UQFN-10_1.4x1.8mm_P0.4mm","1",""
"U6","TPD4S012","Package_DFN_QFN:UQFN-10_1.4x1.8mm_P0.4mm","1",""
"U7","TPS2041B","Package_TO_SOT_SMD:SOT-23-5","1",""
"U8","TPS2041B","Package_TO_SOT_SMD:SOT-23-5","1",""
"U9","TPS2041B","Package_TO_SOT_SMD:SOT-23-5","1",""
"U10","TPS2041B","Package_TO_SOT_SMD:SOT-23-5","1",""
"U11","RTL8211F-CG","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1",""
"U12","RTL8211F-CG","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1",""
"U13","SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U14","SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U15","MAX485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U16","MAX485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U17","CP2102N","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","1",""
"U26","LM2596S-ADJ","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U27","LM2596S-ADJ","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U28","LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U41","IT66121FN","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U42","TXB0108","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1",""
"U43","IT6801FN","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U44","TPD12S016","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","1",""
"U45","TPD12S016","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","1",""
"Y1","25MHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
"Y2","25MHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
"Y9","27MHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
"Y10","27MHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
