### Footprint positions - created on 2025-12-01T13:51:32+0900 ###
### Printed by KiCad version 9.0.6
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val           Package                                                PosX       PosY       Rot  Side
C20       220uF         C_0402_1005Metric                                    0.7974    -6.5333    0.0000  top
C21       220uF         C_0402_1005Metric                                    1.1911    -6.5333    0.0000  top
C22       470uF         C_0402_1005Metric                                    3.1303    -6.3783    0.0000  top
C23       220uF         C_0402_1005Metric                                    1.7817    -7.5175    0.0000  top
C36       100nF         C_0402_1005Metric                                    3.9516   -15.6354    0.0000  top
C37       100nF         C_0402_1005Metric                                    4.1878   -15.6354    0.0000  top
D1        LED_USER0     LED_0603_1608Metric                                  2.5128    -1.0805    0.0000  top
D2        LED_USER1     LED_0603_1608Metric                                  2.7490    -1.0805    0.0000  top
D3        LED_USER2     LED_0603_1608Metric                                  2.9852    -1.0805    0.0000  top
D4        LED_USER3     LED_0603_1608Metric                                  3.2215    -1.0805    0.0000  top
D11       SS34          LED_0603_1608Metric                                  1.0730    -4.8404    0.0000  top
D12       LED_5V        LED_0603_1608Metric                                  1.3093    -4.8404    0.0000  top
D13       SS34          LED_0603_1608Metric                                  0.6006    -5.0766    0.0000  top
D14       SS34          LED_0603_1608Metric                                  0.8368    -5.0766    0.0000  top
D15       LED_3V3       LED_0603_1608Metric                                  1.0730    -5.0766    0.0000  top
D16       LED_1V8       LED_0603_1608Metric                                  1.3093    -5.0766    0.0000  top
J1        USB_A         USB_A_Stewart_SS-52100-001_Horizontal               10.6169    -1.2406   90.0000  top
J2        USB_A         USB_A_Stewart_SS-52100-001_Horizontal               10.6169    -1.7130   90.0000  top
J3        USB_A         USB_A_Stewart_SS-52100-001_Horizontal               10.6169    -2.1854   90.0000  top
J4        USB_A         USB_A_Stewart_SS-52100-001_Horizontal               10.6169    -2.6579   90.0000  top
J6        RJ45_MagJack  RJ45_Hanrun_HR911105A_Horizontal                    11.6575    -7.1453   90.0000  top
J7        CAN0          PinHeader_1x02_P2.54mm_Vertical                      4.0876    -1.4742    0.0000  top
J8        CAN1          PinHeader_1x02_P2.54mm_Vertical                      4.0876    -1.8679    0.0000  top
J9        RS485_0       PinHeader_1x02_P2.54mm_Vertical                      4.0876    -2.2616    0.0000  top
J10       RS485_1       PinHeader_1x02_P2.54mm_Vertical                      4.4813    -1.4742    0.0000  top
J11       MicroSD       microSD_HC_Wuerth_693072010801                       4.4813    -1.8679    0.0000  top
J12       USB_Debug     PinHeader_1x02_P2.54mm_Vertical                      4.4813    -2.2616    0.0000  top
J16       DC_12V        BarrelJack_Horizontal                                3.0618    -6.7382    0.0000  top
J23       HDMI_OUT      HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal     6.6425   -15.1535   90.0000  top
J24       HDMI_IN       HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal     5.8583   -15.2093   90.0000  top
L4        33uH          L_Bourns_SRN6045TA                                   0.7974    -6.1396    0.0000  top
L5        33uH          L_Bourns_SRN6045TA                                   1.1911    -6.1396    0.0000  top
L6        33uH          L_Bourns_SRN6045TA                                   1.5848    -6.1396    0.0000  top
R1        470R          R_0402_1005Metric                                    4.6781    -0.8837    0.0000  top
R2        470R          R_0402_1005Metric                                    4.8750    -0.8837    0.0000  top
R3        470R          R_0402_1005Metric                                    5.0719    -0.8837    0.0000  top
R4        470R          R_0402_1005Metric                                    5.2687    -0.8837    0.0000  top
R15       100           R_0402_1005Metric                                    2.0494    -5.5951    0.0000  top
R16       1.5K          R_0402_1005Metric                                    2.2463    -5.5951    0.0000  top
R17       1K            R_0402_1005Metric                                    2.4431    -5.5951    0.0000  top
